Genus	Species	1C (pg)
Reseda	scoparia	0.35
Trifolium	lappaceum	0.35
Begonia	hispida	0.35
Begonia	metallica	0.35
Dioscorea	dumetorum	0.35
Prunus	mahaleb	0.35
Herrania	nitida	0.35
Carex	scoparia	0.35
Rubus	trivialis	0.36
Stachyurus	praecox	0.36
Cryptanthus	schwackeanus	0.36
Verbascum	chaixii	0.36
Cucurbita	lundelliana	0.36
Trifolium	variegatum	0.36
Micromeria	hyssopifolia	0.36
Veronica	filiformis	0.36
Arabis	procurrens	0.36
Sisymbrella	dentata	0.36
Sisymbrium	austriacum	0.36
Cardamine	chelidonia	0.36
Cucurbita	ecuadorensis	0.36
Brachypodium	distachyon	0.36
Voacanga	grandifolia	0.37
Rubus	canescens	0.37
Ficus	carica	0.37
Theobroma	microcarpum	0.37
Sinningia	pusilla	0.37
Oxalis	corymbosa	0.37
Cucurbita	okeechobeensis	0.37
Spirodela	punctata	0.37
Micromeria	lachnophylla	0.37
Lepidium	apetalum	0.37
Boreava	orientalis	0.37
Phyllis	nobla	0.37
Deuterocohnia	longipetala	0.37
Mimulus	guttatus	0.37
Chenopodium	pumilio	0.37
Trifolium	campestre	0.37
Brachypodium	rupestre	0.37
Cucurbita	argyrosperma	0.37
Carica	papaya	0.38
Acer	carpinifolium	0.38
Lablab	niger	0.38
Sinapis	arvensis	0.38
Rubus	odoratus	0.38
Rhodotypos	scandens	0.38
Eriophorum	vaginatum	0.38
Calathea	clossoni	0.38
Calathea	picturata	0.38
Calathea	bachemiana	0.38
Maranta	arundinacea	0.38
Citrus	aurantium	0.38
Citrus	aurantifolia	0.38
Kedrostis	africana	0.38
Gymnostoma	deplancheana	0.38
Micromeria	varia	0.38
Rubus	sanctus	0.38
Cryptanthus	bahianus	0.38
Prunus	fenzliana	0.38
Billbergia	nutans	0.38
Caulanthus	amplexicaulis	0.38
Trifolium	aureum	0.38
Micromeria	herpyllomorpha	0.38
Veronica	armena	0.38
Arabis	alpina	0.38
Heliophila	amplexicaulis	0.38
Pseudoturritis	turrita	0.38
Brocchinia	acuminata	0.38
Trifolium	striatum	0.38
Begonia	schmidtiana	0.38
Herrania	kanukensis	0.38
Nasturtium	officinale	0.38
Wolffia	australiana	0.38
Sinningia	tubiflora	0.38
Sinningia	marocphylla	0.38
Guillenia	lasiophyllum	0.38
Poncirus	trifoliata	0.39
Eucalyptus	citriodora	0.39
Prunus	webbii	0.39
Trifolium	arvense	0.39
Cucurbita	pedatifolia	0.39
Arabidopsis	arenosa	0.39
Marcetella	moquiniana	0.39
Brocchinia	tatei	0.39
Trifolium	glomeratum	0.39
Azadirachta	indica	0.39
Mentha	longifolia	0.39
Trifolium	nigrescens	0.39
Salix	triandra	0.4
Citrus	volkameriana	0.4
Arabidopsis	wallichii	0.4
Carex	pulicaris	0.4
Chamerion	angustifolium	0.4
Scorpiurus	vermiculatus	0.4
Agropyron	smithii	0.4
Potentilla	fruticosa	0.4
Scirpus	tabernaemontani	0.4
Acorus	gramineus	0.4
Freycinetia	multiflora	0.4
Leontodon	longirostris	0.4
Prosopis	flexusa	0.4
Fragaria	virginiana	0.4
Rosa	sericea	0.4
Rosa	xanthina	0.4
Cochlearia	pyrenaica	0.4
Calathea	lietzei	0.4
Calathea	insignis	0.4
Calathea	undulata	0.4
Carex	chrysolepis	0.4
Carex	makinoensis	0.4
Carex	dolichostachya	0.4
Citrus	limon	0.4
Citrus	medica	0.4
Citrus	grandis	0.4
Citrus	paradisi	0.4
Eucalyptus	torelliana	0.4
Veronica	glauca	0.4
Draba	verna	0.4
Draba	glomerata	0.4
Malcolmia	africana	0.4
Arabidopsis	neglecta	0.4
Capsella	bursa-pastoris	0.4
Deuterocohnia	schreiteri	0.4
Scutellaria	altissima	0.4
Herrania	breviligulata	0.4
Corchorus	capsularis	0.4
Drosera	peltata	0.4
Hypericum	grandifolium	0.41
Oxalis	megalorrhiza	0.41
Carex	acutiformis	0.41
Salix	viminalis	0.41
Citrus	reshni	0.41
Citrus	limonia	0.41
Inga	dulcis	0.41
Thryptomene	saxicola	0.41
Utricularia	prehensilis	0.41
Herrania	balaensis	0.41
Landoltia	punctata	0.41
Narthecium	ossifragum	0.41
Gillenia	trifoliata	0.42
Luzula	divulgatiformis	0.42
Ostrya	carpinifolia	0.42
Myrica	gale	0.42
Cucurbita	cylindrata	0.42
Veronica	polita	0.42
Syrenia	cuspidata	0.42
Aubrieta	deltoidea	0.42
Salvadora	persica	0.42
Echium	strictum	0.42
Globularia	salicina	0.42
Polycarpaea	carnosa	0.42
Pitcairnia	prolifera	0.42
Asclepias	syriaca	0.42
Eleocharis	cellulosa	0.42
Quillaja	saponaria	0.42
Polygala	amara	0.42
Escallonia	rubra	0.42
Atriplex	sabulosa	0.43
Atriplex	serenana	0.43
Polygonum	persicaria	0.43
Salix	caprea	0.43
Biserrula	pectinatus	0.43
Mesembryanthemum	crystallinum	0.43
Vigna	lancifolia	0.43
Theobroma	cacao	0.43
Hygrophila	violacea	0.43
Vitis	doaniana	0.43
Vitis	vinifera	0.43
Coffea	sessiliflora	0.43
Prosopis	alba	0.43
Prosopis	lampa	0.43
Prosopis	pallida	0.43
Prosopis	chilensis	0.43
Prosopis	juliflora	0.43
Prosopis	glandulosa	0.43
Friesodielsia	obovata	0.43
Rosa	persica	0.43
Rosa	stellata	0.43
Carex	oxyandra	0.43
Cucurbita	moschata	0.43
Atriplex	californica	0.43
Salix	elaeagnos	0.43
Polygala	angustifolia	0.43
Jatropha	curcas	0.43
Oxalis	medicaginea	0.43
Trifolium	pratense	0.43
Strychnos	nux-vomica	0.43
Zoysia	japonica	0.43
Melia	azedarach	0.43
Ceropegia	fusca	0.43
Salvia	broussonetii	0.43
Physaria	ovalifolia	0.43
Heliophila	coronopifolia	0.43
Thlaspi	ceratocarpum	0.43
Polygala	calcarea	0.43
Brocchinia	uaipanensis	0.43
Prosopis	velutina	0.43
Drypis	spinosa	0.43
Lemna	aequinoctialis	0.43
Brachypodium	sylvaticum	0.43
Luzula	pallescens	0.43
Dasypogon	hookeri	0.44
Leucaena	lempirana	0.44
Micromeria	thymifolia	0.44
Isopyrum	thalictroides	0.44
Oxalis	san-miguelii	0.44
Oxalis	urubambensis	0.44
Micromeria	glomerata	0.44
Veronica	lycica	0.44
Veronica	serpyllifolia	0.44
Pachycladon	exilis	0.44
Puya	mirabilis	0.44
Pitcairnia	heterophylla	0.44
Lemna	japonica	0.44
Oxalis	lotoides	0.44
Brachypodium	pinnatum	0.44
Oxalis	oulophora	0.44
Oxalis	ptychoclada	0.44
Oxalis	vulcanicola	0.44
Trifolium	willdenovii	0.44
Brachypodium	sylvaticum	0.44
Dioscorea	tokoro	0.44
Arabidopsis	thaliana	0.44
Polygala	vulgaris	0.45
Ceropegia	dichotoma	0.45
Polycarpaea	latifolia	0.45
Teucrium	arduini	0.45
Oxalis	mollis	0.45
Oxalis	marcapatensis	0.45
Rostkovia	magellanica	0.45
Scirpus	sylvaticus	0.45
Bulnesia	arborea	0.45
Cyperus	haspan	0.45
Ananas	bracteatus	0.45
Mangifera	indica	0.45
Citrullus	vulgaris	0.45
Phaseolus	macvaughii	0.45
Aristolochia	fimbriata	0.45
Vitis	vulpina	0.45
Vitis	champini	0.45
Vitis	flexuosa	0.45
Coffea	racemosa	0.45
Rosa	willmottiae	0.45
Calathea	ornata	0.45
Carex	conica	0.45
Carex	blepharicarpa	0.45
Cyperus	rotundus	0.45
Lotus	coimbrensis	0.45
Heliconia	rostrata	0.45
Koelreuteria	apiculata	0.45
Arabidopsis	lyrata	0.45
Echium	decaisnei	0.45
Conyza	canadensis	0.45
Panicum	capillare	0.45
Populus	tremula	0.45
Spiraea	chamaedryfolia	0.45
Rhamnus	intermedius	0.45
