Genus	Species	1C (pg)
Opuntia	microdasys	2.24
Nicotiana	glutinosa	2.24
Scabiosa	canescens	2.24
Solanum	retroflexum	2.25
Vicia	eriocarpa	2.25
Senecio	jacobaea	2.25
Anthriscus	sylvestris	2.25
Vicia	sativa	2.25
Vicia	angustifolia	2.25
Sabal	mauritiiformis	2.25
Hypochaeris	microcephala	2.25
Ipomoea	batatas	2.25
Malus	communis	2.25
Pennisetum	violaceum	2.25
Pennisetum	mollissimum	2.25
Clarkia	rubicunda	2.25
Clarkia	lasseninsis	2.25
Petroselinum	crispum	2.25
Achillea	vulgaris	2.25
Matthiola	sinuata	2.25
Tecophilaea	cyanocrocus	2.26
Poa	lindsayi	2.26
Silene	reichenbachii	2.26
Veronica	teucrium	2.26
Ptilotrichum	canescens	2.26
Inula	helenium	2.26
Dactylis	polygama	2.26
Saponaria	officinalis	2.27
Valeriana	dioscoridis	2.27
Datura	inoxia	2.27
Torilis	japonica	2.28
Bulnesia	retama	2.28
Nicotiana	petunioides	2.28
Datura	innoxia	2.28
Datura	discolor	2.28
Vicia	villosa	2.28
Passiflora	menispermifolia	2.28
Digitaria	setigera	2.28
Machaeranthera	parviflora	2.28
Poa	breviglumis	2.28
Opuntia	dillenii	2.28
Festuca	valesiaca	2.28
Hydrangea	macrophylla	2.28
Consolida	orientalis	2.28
Curcuma	raktakanta	2.29
Matthiola	maderensis	2.29
Lactuca	viminea	2.29
Trifolium	ambiguum	2.29
Nymphaea	odorata	2.3
Trifolium	africanum	2.3
Tussilago	farfara	2.3
Oxalis	rusciformis	2.3
Anthospermum	spathulatum	2.3
Xanthosoma	violaceum	2.3
Ravenea	glauca	2.3
Peperomia	trifolia	2.3
Phyllostachys	aureus	2.3
Vulpia	geniculata	2.3
Zantedeschia	aethiopica	2.3
Zantedeschia	albomaculata	2.3
Sorghum	leiocladum	2.3
Pimpinella	cumbrae	2.3
Genista	benehoavensis	2.3
Eleocharis	mamillata	2.3
Stapelia	grandiflora	2.31
Cyclamen	graecum	2.31
Artemisia	santolinifolia	2.31
Corylopsis	sinensis	2.31
Fallopia	x bohemica	2.32
Myzorrhiza	pinorum	2.32
Pterospartum	tridentatum	2.32
Matricaria	matricarioides	2.33
Papaver	persicum	2.33
Papaver	ocellatum	2.33
Nicotiana	linearis	2.33
Calamus	viminalis	2.33
Hedysarum	pycnostachyum	2.33
Chenopodium	album	2.33
Crepis	setosa	2.33
Ruppia	cirrhosa	2.33
Orobanche	hederae	2.33
Physaria	bellii	2.34
Festuca	cf. taurica	2.34
Mercurialis	perennis	2.35
Pillansia	templemanii	2.35
Papaver	atlanticum	2.35
Papaver	ruprifragum	2.35
Ravenea	madagascariensis	2.35
Hypochaeris	chillensis	2.35
Neofinetia	falcata	2.35
Oncidium	sphacelatum	2.35
Trichopilia	maculata	2.35
Panicum	virgatum	2.35
Daphne	blagayana	2.35
Halimium	halimifolium	2.36
Silene	sendtneri	2.36
Campanula	thyrsoides	2.37
Taraxacum	obovatum	2.37
Nicotiana	palmerii	2.38
Cistus	salviifolius	2.38
Saxifraga	granulata	2.38
Curcuma	oligantha	2.38
Lactuca	saligna	2.38
Veratrum	nigrum	2.38
Atriplex	halimus	2.39
Silene	nutans	2.39
Hernandia	nymphaeifolia	2.39
Cistus	albidus	2.39
Vicia	pilosa	2.4
Pennisetum	americanum	2.4
Papaver	nordhagenianum	2.4
Piper	nigrum	2.4
Hyoscyamus	muticus	2.4
Cypella	aquatilis	2.4
Vicia	disperma	2.4
Dioscorea	villosa	2.4
Aleurites	triloba	2.4
Setaria	parviflora	2.4
Gossypium	hirsutum	2.4
Carthamus	lanatus	2.4
Dahlia	imperialis	2.4
Poa	spania	2.41
Cistus	heterophyllus	2.41
Passiflora	nitida	2.41
Festuca	ovina	2.41
Gossypium	darwinii	2.42
Nicotiana	undulata	2.42
Crambe	maritima	2.42
Eleocharis	austriaca	2.42
Betonica	alopecuros	2.42
Nicotiana	alata	2.43
Nicotiana	rotundifolia	2.43
Vicia	atropurpurea	2.43
Catharanthus	roseus	2.43
Sterculia	alata	2.43
Ranunculus	abortivus	2.43
Helianthus	annuus	2.43
Gossypium	mustelinum	2.43
Koeleria	macrantha	2.43
Fallopia	japonica	2.43
Phelypaea	coccinea	2.43
Colchicum	arenarium	2.43
Festuca	eggleri	2.43
Rumex	patientia	2.43
Cola	nitida	2.43
Gossypium	tomentosum	2.44
Tripleurospermum	elongatum	2.44
Festuca	inops	2.44
Philodendron	pinnatafidum	2.44
Tripleurospermum	melanolepis	2.44
Consolea	macracantha	2.44
Festuca	airoides	2.44
Poa	kirkii	2.45
Senecio	lautus	2.45
Molinia	caerulea	2.45
Matricaria	discoidea	2.45
Achillea	compacta	2.45
Achillea	crithmifolia	2.45
Hedysarum	varium	2.45
Ranunculus	rhomboideus	2.45
Hoodia	gordonii	2.45
Rhodohypoxis	deflexa	2.45
Arthropodium	cirrhatum	2.45
Festuca	vaginata	2.45
Scorzonera	mollis	2.45
Cistus	symphytifolius	2.46
Festuca	psammophila	2.46
Consolea	picardea	2.46
Consolea	millspaughii	2.46
Ferula	heuffelii	2.46
Ambrosia	deltoidea	2.47
Orobanche	lutea	2.47
Papaver	hybridum	2.48
Dypsis	scottiana	2.48
Dypsis	mananjarensis	2.48
Cymbopetalum	brasilience	2.48
Ranunculus	pentandrus	2.48
Cistus	parviflorus	2.48
Rytidosperma	setifolium	2.48
Nicotiana	attenuata	2.48
Festuca	rupicaprina	2.48
Chionochloa	vireta	2.49
Buphthalmum	salicifolium	2.49
Solanum	demissum	2.5
Arachis	spegazinii	2.5
Coreopsis	grandiflora	2.5
Oxalis	barrelierii	2.5
Oncidium	ampliatum	2.5
Ceropegia	woodii	2.5
Microstylis	wallichii	2.5
Leontodon	hispidus	2.5
Dypsis	cabadae	2.5
Cattleya	bowringiana	2.5
Pennisetum	schweinfurthii	2.5
Hydrangea	involucrata	2.5
Chionochloa	crassiuscula	2.5
Gossypium	barbadense	2.51
Gossypium	rotundifolium	2.51
Chionochloa	macra	2.51
Festuca	filiformis	2.51
Poa	sublimis	2.51
Gossypium	exiguum	2.52
Consolea	spinosissima	2.52
Melica	ciliata	2.53
Papaver	kerneri	2.53
Pratia	pedunculata	2.53
Daucus	muricatus	2.53
Bupleurum	fruticosum	2.53
Crepis	aurea	2.53
Festuca	pallens	2.53
Nuphar	luteum	2.53
Chionochloa	lanea	2.53
Limonium	angustifolium	2.53
Chionochloa	rigida	2.54
Consolea	moniliformis	2.54
Diospyros	kaki	2.54
Coriandrum	sativum	2.54
Consolea	nashii	2.55
Yucca	kanabensis	2.55
Trisetum	flavescens	2.55
Vicia	palaestina	2.55
Eleusine	africana	2.55
Dendrobium	densiflorum	2.55
Jubaea	chilensis	2.55
Dypsis	pilulifera	2.55
Gerbera	hybrida	2.55
Achillea	teretifolia	2.55
Cenchrus	echinatus	2.55
Lewisia	cotyledon	2.55
Gossypium	pilosum	2.55
Rytidosperma	unarede	2.55
Reichardia	macrophylla	2.55
Gossypium	cunninghamii	2.56
Chionochloa	spiralis	2.56
Silene	berthelotiana	2.56
Anthurium	obtusum	2.56
Trientalis	europaea	2.56
Odontostomum	hartwegii	2.56
Anthurium	scandens	2.56
Chionochloa	pallens	2.57
Orobanche	rapum-genistae	2.57
Festuca	violacea	2.57
Isonandra	villosa	2.57
Chionochloa	rubra	2.57
Senecio	cambrensis	2.58
Rhynchostylis	retusa	2.58
Commelina	erecta	2.58
Phalaenopsis	modesta	2.58
Echinops	tschimganicus	2.58
Pultenaea	flexilis	2.58
Onosma	arenaria	2.58
Eupatorium	cannabinum	2.58
Silene	nocteolens	2.58
Consolea	corallicola	2.58
Chionochloa	flavescens	2.59
Bunias	orientalis	2.59
Xanthium	albinum	2.59
Silene	lagunensis	2.6
Festuca	polesica	2.6
Tephrosia	candida	2.6
Calamus	ciliaris	2.6
Reichardia	dichotoma	2.6
Koeleria	glauca	2.6
Muscari	adilii	2.6
Colchicum	speciosum	2.61
Orobanche	alsatica	2.61
Cistus	psilosepalus	2.61
Silene	pogonocalyx	2.62
Limonium	pectinatum	2.62
Festuca	humifusa	2.62
Succisella	petteri	2.62
Papaver	rhoeas	2.63
Vicia	pubescens	2.63
Vicia	lathyroides	2.63
Hyoscyamus	albus	2.63
Tripleurospermum	maritimum	2.63
Achillea	biebersteinii	2.63
Setaria	pumila	2.63
Ranunculus	sphaerospermus	2.63
Artemisia	frigida	2.63
Festuca	pirinica	2.63
Gossypium	enthyle	2.63
Senecio	teneriffae	2.63
Nuphar	pumila	2.63
Oplismenus	hirtellus	2.64
Hibbertia	scandens	2.64
Cistus	clusii	2.64
Phalaenopsis	gigantea	2.64
Asparagus	acutifolius	2.65
Zea	diploperennis	2.65
Collinsia	tinctoria	2.65
Campanula	rotundifolia	2.65
Sisyrinchium	junceum	2.65
Guizotia	scabra	2.65
Lactuca	sativa	2.65
Dypsis	mcdonaldiana	2.65
Pennisetum	setaceum	2.65
Yucca	glauca	2.65
Ardisia	crenata	2.65
Limonium	vulgare	2.65
Senecio	kleiniiformis	2.65
Zingeria	trichopoda	2.65
Miscanthus	sinensis	2.65
Chionochloa	antarctica	2.66
Andryala	levitomentosa	2.66
Cistus	albanicus	2.67
Solanum	mammosum	2.68
Papaver	fugax	2.68
Pennisetum	glaucum	2.68
Myosotis	palustris	2.68
Masoala	madagascariensis	2.68
Arachis	batizocoi	2.68
Achillea	nobilis	2.68
Achillea	erba-rotta	2.68
Crepis	canariensis	2.68
Festuca	scariosa	2.68
Artemisia	fragrans	2.68
Heloniopsis	orientalis	2.68
Gossypium	marchantii	2.68
Poa	acicularifolia	2.68
Festuca	lenensis	2.68
Agrostis	alba	2.68
Passiflora	quadrangularis	2.68
Echinops	ecbatanus	2.69
Artemisia	marschalliana	2.69
Chionochloa	juncea	2.69
Festuca	stenantha	2.69
Nicotiana	sylvestris	2.7
Yucca	kaibabensis	2.7
Vicia	macrocarpa	2.7
Silene	dioica	2.7
Oncidium	serratum	2.7
Veratrum	californicum	2.7
Silene	latifolia	2.7
Bulbophyllum	cocoinum	2.7
Achillea	clypeolata	2.7
Hedysarum	nitidum	2.7
Phyllostachys	nigra	2.7
Senecio	rowleyanus	2.7
Yucca	harrimaniae aff. Nana	2.7
Cyrtochilum	serratum	2.7
Sedum	hispanicum	2.7
Festuca	hallerii	2.7
Spinifex	sericeus	2.71
Aster	lanceolatus	2.71
Festuca	circummediterranea	2.72
Lolium	multiflorum	2.72
Poa	flabellata	2.73
Zea	mays	2.73
Sisyrinchium	nudicaule	2.73
Pintoa	chilensis	2.73
Callitriche	brutia	2.73
Commelina	albescens	2.73
Dypsis	catatiana	2.73
Dypsis	pinnatifrons	2.73
Achillea	sulphurea	2.73
Poa	anceps	2.73
Euphrasia	rostkoviana	2.73
Senecio	citriformis	2.73
Chionochloa	cheesemanii	2.74
Eleocharis	eryhtropoda	2.74
Nicotiana	tomentosiformis	2.74
Poa	maniototo	2.75
Poa	matthewsii	2.75
Lactuca	aculeata	2.75
Symphytum	tuberosum	2.75
Lolium	rigidum	2.75
Mibora	minima	2.75
Lolium	loliaceum	2.75
Dendrophthoe	glabrescens	2.75
Lonicera	periclymenum	2.75
Senecio	crassifolius	2.75
Alpinia	speciosa	2.75
Coelogyne	pastulata	2.75
Hedysarum	pestalozzae	2.75
Senecio	x peregrinus	2.75
Poa	pusilla	2.75
Eleocharis	xyridiformis	2.75
Lantana	camara	2.75
Lolium	perenne	2.76
Rubia	fruticosa	2.76
Halimium	ocymoides	2.76
Lactuca	perennis	2.76
Disporum	smithii	2.76
Cirsium	vulgare	2.77
Tragopogon	pratensis	2.77
Hieracium	schultesii	2.77
Galaxia	fugacissima	2.78
Papaver	gracile	2.78
Callitriche	platycarpa	2.78
Bentinckia	condapanna	2.78
Daemonorops	verticillaris	2.78
Holcus	mollis	2.78
Rhynchosia	hirta	2.78
Satureja	montana	2.78
Achillea	abrotanoides	2.78
Phytolacca	tetramera	2.78
Achillea	coarctata	2.78
Succisa	pratensis	2.78
Onosma	stellulata	2.78
Plantago	media	2.78
Rhynchosia	cyanosperma	2.78
Orobanche	picridis	2.79
Dodecatheon	media	2.79
Orobanche	alba	2.79
Crepis	lyrata	2.79
Turnera	aurelii	2.79
Poa	dipsacea	2.8
Eryngium	giganteum	2.8
Papaver	lateritium	2.8
Trichopilia	marginata	2.8
Camassia	cusickii	2.8
Bupleurum	himalayense	2.8
Pennisetum	pedicellatum	2.8
Oncidium	loxense	2.8
Arundo	donax	2.8
Senecio	radicans	2.8
Poa	incrassata	2.8
Anthurium	pittieri	2.81
Anthericum	ramosum	2.82
Crepis	schachtii	2.82
Sedum	spurium	2.82
Smyrnium	perfoliatum	2.82
Litsea	glutinosa	2.82
Poa	trivialis	2.83
Trichosanthes	dioica	2.83
Camassia	leichtlinii	2.83
Pseudophoenix	sargentii	2.83
Arachis	ipaensis	2.83
Achillea	glaberrima	2.83
Hedysarum	aucheri	2.83
Oncidium	robustissimum	2.83
Agrostis	palustris	2.83
Poa	colensoi	2.83
Poa	buchananii	2.83
Festuca	riloensis	2.84
Gossypium	nobile	2.84
Phytolacca	esculenta	2.84
Pedicularis	hoermanniana	2.84
Orobanche	crenata	2.84
Poa	ramosissima	2.85
Nicotiana	wigandioides	2.85
Carum	copticum	2.85
Wendlandiella	gracilis	2.85
Bupleurum	falcatum	2.85
Pennisetum	polystachyon	2.85
Crepis	rubra	2.85
Silene	rubra	2.85
Canarina	canariensis	2.86
Lolium	temulentum	2.86
Cuscuta	chilensis	2.87
Achyrocline	flaccida	2.87
Achyrocline	satureioides	2.87
Polylepis	racemosa	2.87
Arachis	hypogaea	2.87
Onosma	pseudoarenaria	2.87
Poa	annua	2.88
Milium	vernale	2.88
Nicotiana	miersii	2.88
Melandrium	album	2.88
Arachis	rigonii	2.88
Anemarrhena	asphodeloides	2.88
Achillea	vermicularis	2.88
Oncidium	ornithorynchum	2.88
Diospyros	exculpata	2.88
Cistus	libanotis	2.89
Vicia	cirrhosa	2.89
Dactylorhiza	fuchsii	2.89
Artemisia	abrotanum	2.89
Androcymbium	palaestinum	2.89
Briza	minor	2.9
Ulex	gallii	2.9
Papaver	spicatum	2.9
Papaver	commutatum	2.9
Oxalis	bupleurifolia	2.9
Sisyrinchium	bermudiana	2.9
Pennisetum	purpureum	2.9
Dypsis	louvelii	2.9
Bupleurum	candollei	2.9
Achillea	ptarmica	2.9
Achillea	ochroleuca	2.9
Achillea	ageratifolia	2.9
Achillea	filipendulina	2.9
Chloranthus	officinalis	2.9
Crepis	neglecta	2.9
Humulus	lupulus	2.9
Hedera	algeriensis	2.9
Senecio	articulatus	2.9
Festuca	picturata	2.9
Vicia	scandens	2.91
Justicia	hyssopifolia	2.91
Cuscuta	veatchii	2.92
Cerastium	fontanum	2.93
Nuytsia	floribunda	2.93
Elymus	farctus	2.93
Sisyrinchium	douglasii	2.93
Dypsis	beentjei	2.93
Cajanus	acutifolius	2.93
Achillea	setacea	2.93
Oncidium	wentworthianum	2.93
Crepis	taraxacifolia	2.93
Aira	praecox	2.93
Xeranthemum	longepapposum	2.93
Festuca	henriquesii	2.93
Vulpia	bromoides	2.93
Succisella	inflexa	2.93
Artemisia	campestris	2.94
Ranunculus	adoneus	2.94
Cistus	monspeliensis	2.94
Tragopogon	dubius	2.94
Silene	dichotoma	2.94
Nicotiana	paniculata	2.95
Achyrocline	crassiuscula	2.95
Vulpia	sicula	2.95
Senecio	mikanioides	2.95
Danthonia	decumbens	2.95
Nicotiana	corymbosa	2.95
Tolpis	barbata	2.95
Ranunculus	alpestris	2.95
Arachis	monticola	2.95
Hampea	appendiculata	2.95
Bletilla	striata	2.95
Sarcocornia	fruiticosa	2.96
Ranunculus	macauleyi	2.97
Artemisia	dracunculus	2.97
Turnera	fernandezii	2.97
Bryonia	alba	2.97
Turgenia	latifolia	2.98
Vicia	biennis	2.98
Eleusine	kigeziensis	2.98
Agave	fourcroydes	2.98
Daucus	littoralis	2.98
Arachis	pintoi	2.98
Achillea	tomentosa	2.98
Rollinia	mucosa	2.98
Artemisia	austriaca	2.98
Austrodanthonia	caespitosa	2.98
Lactuca	alpina	2.98
Crocus	pallasii	2.98
Artemisia	molinieri	2.98
Cyclamen	hederifolium	2.98
Olea	maderensis	2.99
Daphne	laureola	2.99
Atriplex	nummularia	2.99
Poa	astonii	2.99
Poa	foliosa	3
Cosmos	sulphureus	3
Nicotiana	exigua	3
Pratia	macrodon	3
Desmoncus	polyacanthos	3
Arachis	appressipila	3
Cattleya	walkeriana	3
Achillea	ageratum	3
Crepis	alpina	3
Gossypium	barbadense	3
Aira	elegantissima	3
Hedera	hibernica	3
Artemisia	giraldii	3
Vicia	ochroleuca	3
Poa	intrusa	3.01
Achyrocline	alata	3.02
Artemisia	chamaemelifolia	3.02
Rytidosperma	maculatum	3.02
Lolium	remotum	3.03
Papaver	trinifolium	3.03
Ravenea	musicalis	3.03
Arachis	stenophylla	3.03
Berberis	buxifolia	3.03
Oncidium	stenotis	3.03
Aster	riparius	3.03
Poa	aff. colensoi	3.03
Daphne	mezereum	3.03
Albuca	pendula	3.03
Lactuca	dregeana	3.03
Chionochloa	bromoides	3.05
Cynosurus	cristatus	3.05
Tephrosia	purpurea	3.05
Nicotiana	occidentalis	3.05
Agave	americana	3.05
Camassia	quamash	3.05
Syagrus	romanzoffiana	3.05
Arachis	helodes	3.05
Arachis	cardenasii	3.05
Arachis	stenosperma	3.05
Achillea	clavennae	3.05
Achillea	impatiens	3.05
Oncidium	aloisii	3.05
Oncidium	onustum	3.05
Clarkia	concinna	3.05
Stephanomeria	malheurensis	3.05
Muscari	mcbeathianum	3.05
Massonia	sp.	3.05
Laurus	nobilis	3.05
Yucca	gloriosa	3.05
Rhinanthus	glaber	3.05
Artemisia	stelleriana	3.05
Echinops	cornigerus	3.06
Festuca	gautieri	3.06
Ranunculus	carpaticola	3.06
Lactuca	livida	3.07
Senecio	spathulatus	3.08
Nicotiana	pauciflora	3.08
Eleusine	floccifolia	3.08
Pholidota	inbricata	3.08
Bupleurum	longicaule	3.08
Arachis	matiensis	3.08
Peperomia	metallica	3.08
Artemisia	sieversiana	3.09
Festuca	norica	3.09
Lactuca	altaica	3.09
Bromus	erectus	3.1
Phleum	commutatum	3.1
Solanum	nigrum	3.1
Papaver	glaucum	3.1
Achillea	macrophylla	3.1
Berberis	heterophylla	3.1
Oncidium	caediochilum	3.1
Microseris	paludosa	3.1
Cerastium	transsylvanicum	3.1
Biarum	tenuifolium	3.1
Cyrtochiloides	cardiochila	3.1
Anthurium	fragrantissimum	3.11
Vicia	canescens	3.12
Halimium	lasianthum	3.12
Solanum	robustum	3.13
Phalaris	truncata	3.13
Achillea	salicifolia	3.13
Achillea	asplenifolia	3.13
Stephanomeria	exigua	3.13
Posidonia	oceanica	3.13
Rytidosperma	thomsonii	3.14
Gentiana	asclepiadea	3.14
Ranunculus	escholtzii	3.15
Senecio	gregorii	3.15
Nicotiana	gossei	3.15
Nicotiana	noctiflora	3.15
Dendrobium	fimbriatum	3.15
Cymbidium	sinense	3.15
Saccharum	spontaneum	3.15
Xanthium	strumarium	3.15
Oncidium	ansiferum	3.15
Clarkia	deflexa	3.15
Ranunculus	cassubicifolius	3.15
Lychnis	coronaria	3.15
Artemisia	afra	3.16
Castellia	tuberculosa	3.16
Poa	novae-zelandiae	3.16
Capsicum	annuum	3.16
Nicotiana	knightiana	3.16
Chionochloa	conspicua	3.17
Lamium	argentatum	3.17
Lactuca	denticulata	3.17
Iva	xanthiifolia	3.17
Lolium	persicum	3.18
Dendrophthoe	odontocalyx	3.18
Sisyrinchium	patagonicum	3.18
Arachis	chacoense	3.18
Semiarundinaria	tranquillans	3.18
Parthenocissus	quinquefolia	3.18
Lamium	montanum	3.18
Orobanche	owerinii	3.18
Phalaenopsis	pulchra	3.19
Artemisia	nova	3.19
Orobanche	transcaucasica	3.19
Cerastium	arcticum	3.19
Massonia	pustulata	3.19
Chamaecytisus	spinescens	3.19
Lactuca	dentata	3.2
Senecio	quadridentatus	3.2
Helianthus	neglectus	3.2
Desmazeria	sicula	3.2
Nicotiana	forgetiana	3.2
Nicotiana	benthamiana	3.2
Schoenorchis	gemmata	3.2
Tripogandra	glandulosa	3.2
Saruma	henryi	3.2
Arachis	correntina	3.2
Terminalia	myriocarpa	3.2
Cleisostoma	subulatum	3.2
Limonium	sinuatum	3.2
Oncidium	globuliferum	3.2
Agoseris	retrorsa	3.2
Vahlodea	atropurpurea	3.2
Oxalis	acetosella	3.2
Penstemon	digitalis	3.2
Fallopia	sachalinensis	3.21
Dipcadi	serotinum	3.21
Crepis	bithynica	3.22
Phalaenopsis	cornu-cervi	3.22
Bidens	connata	3.22
Phleum	alpinum	3.23
Skimmia	japonica	3.23
Pimpinella	major	3.23
Pratia	perpusilla	3.23
Agave	amaniensis	3.23
Ranunculus	sardous	3.23
Trifolium	medium	3.23
Angelica	archangelica	3.23
Phalaenopsis	mariae	3.24
Hieracium	echioides	3.24
Peucedanum	oreoselinum	3.24
Phalaenopsis	micholitzii	3.25
Phalaenopsis	lueddemanniana	3.25
Artemisia	vulgaris	3.25
Poa	sudicola	3.25
Lamiastrum	galeobdolon	3.25
Nicotiana	maritima	3.25
Bromus	tectorum	3.25
Catabrosa	aquatica	3.25
Achillea	ligustica	3.25
Lagarosiphon	major	3.25
Lycium	chilense	3.25
Impatiens	omeiensis	3.25
Pilosocereus	royenii	3.26
Acantholepis	orientalis	3.26
Lactuca	squarrosa	3.26
Lactuca	angustana	3.27
Fagara	zanthoxyloides	3.28
Nicotiana	otophora	3.28
Saccharum	barberi	3.28
Arachis	villosa	3.28
Achillea	lingulata	3.28
Achillea	grandifolia	3.28
Oncidium	trilobum	3.28
Oncidium	bracteatum	3.28
Periballia	involucrata	3.28
Xeronema	callistemon	3.28
Artemisia	persica	3.28
Phalaenopsis	fasciata	3.28
Dipsacus	fullonum	3.28
Artemisia	herba-alba	3.29
Dipsacus	sativus	3.29
Festuca	acuminata	3.29
Tragopogon	porrifolius	3.29
Silene	chalcedonica	3.3
Helianthus	debilis	3.3
Nicotiana	acuminata	3.3
Nicotiana	tomentosa	3.3
Dactylis	glomerata	3.3
Oncidium	floridanum	3.3
Ranunculus	crenatus	3.3
Veratrum	lobelianum	3.3
Cyclamen	purpurascens	3.3
Doryanthes	palmeri	3.31
Phalaenopsis	sumatrana	3.31
Echinops	bithynicus	3.31
Dipsacus	laciniatus	3.32
Colocasia	antiquorum	3.33
Sisyrinchium	filifolium	3.33
Nicotiana	fragrans	3.33
Ranunculus	glacialis	3.33
Artemisia	caerulescens	3.33
Hydrangea	macrophylla	3.33
Sorghum	versicolor	3.34
Poa	xenica	3.34
Asphodelus	microcarpus	3.34
Ptilotus	atriplicifolius	3.35
Bromus	sterilis	3.35
Vicia	grandiflora	3.35
Dendrobium	aphyllum	3.35
Commelina	diffusa	3.35
Microseris	laciniata	3.35
Illicium	anisatum	3.35
Graptopetalum	macdougallii	3.35
Massonia	depressa	3.36
Rumex	nivalis	3.37
Inula	conyza	3.38
Papaver	tauricola	3.38
Bouvardia	ternifolia	3.38
Nicotiana	excelsior	3.38
Acrocomia	aculeata	3.38
Achillea	chamaemelifolia	3.38
Hedysarum	rotundifolium	3.38
Crepis	tectorum	3.38
Artemisia	lagocephala	3.38
Orobanche	latisquama	3.38
Bromus	variegatus	3.38
Helianthus	petiolaris	3.4
Desmazeria	rigidum	3.4
Hyphaene	benguelensis	3.4
Cornus	mas	3.4
Capsicum	frutescens	3.4
Prosartes	smithii	3.4
Biarum	olivieri	3.41
Capsicum	chinense	3.42
Lathyrus	miniatus	3.43
Sorghum	roxburghii	3.43
Calyptrogyne	sp.	3.43
Oncidium	aff. cimiciferum	3.43
Microseris	sylvatica	3.43
Howea	forsteriana	3.43
Hordeum	euclaston	3.43
Phelipanche	nana	3.43
Hieracium	pilosella	3.45
Agrostis	vinealis	3.45
Dictamnus	albus	3.45
Syagrus	glaucescens	3.45
Arachis	paraguariensis	3.45
Hieracium	brachiatum	3.45
Claytonia	alsinoides	3.45
Taraxacum	albidum	3.46
Festuca	pumila	3.46
Colymbada	orientalis	3.46
Fallopia	x bohemica	3.47
Orobanche	teucrii	3.47
Vicia	benghalensis	3.48
Cochlioda	noezliana	3.48
Echinops	viscosus	3.48
Brachanthemum	titovii	3.49
Carlina	salicifolia	3.49
Festuca	bosniaca	3.49
Festuca	malyschevii	3.49
Festuca	tatrae	3.5
Senecio	gunnii	3.5
Senecio	bipinnatisectus	3.5
Bougainvillea	peruviana	3.5
Agrostis	canina	3.5
Agrostis	stolonifera	3.5
Sisyrinchium	pachyrrhizum	3.5
Vicia	qatmensis	3.5
Cuminum	cyminum	3.5
Latania	lontaroides	3.5
Lagurus	ovatus	3.5
Agoseris	glauca	3.5
Microseris	nutans	3.5
Romulea	bulbocodioides	3.5
Miscanthus	x giganteus	3.5
Hordeum	intercedens	3.51
Euphorbia	amygdaloides	3.51
Hieracium	stelligerum	3.52
Pinellia	tripartita	3.52
Senecio	aff. apargiaefolius	3.53
Helianthus	praecox	3.53
Agrostis	capillaris	3.53
Tephrosia	vogellii	3.53
Hieracium	aurantiacum	3.53
Artemisia	tournefortiana	3.53
Carthamus	creticus	3.53
Rytidosperma	buchananii	3.54
Echinops	bannaticus	3.54
Orobanche	grossheimii	3.54
Dactylorhiza	incarnata	3.55
Hieracium	recoderi	3.55
Phelipanche	olbiensis	3.55
Euchlaena	mexicana	3.55
Phaiophleps	biflora	3.55
Sisyrinchium	bellum	3.55
Sisyrinchium	depauperatum	3.55
Andropogon	gerardii	3.55
Celosia	argentea	3.55
Cocos	nucifera	3.55
Orchidantha	maxillaroides	3.55
Spathiphyllum	sp. 'Mauna Loa'	3.55
Crepis	laciniata	3.55
Ranunculus	thora	3.55
Hieracium	gouani	3.55
Carlina	xeranthemoides	3.56
Nicotiana	nudicaulis	3.56
Festuca	versicolor	3.56
Orobanche	caryophyllacea	3.56
Orobanche	raddeana	3.56
Artemisia	filifolia	3.57
Senecio	discifolius	3.58
Loxococcus	rupicola	3.58
Terminalia	arjuna	3.58
Sasa	veitchii	3.58
Echinops	persicus	3.58
Echinops	niveus	3.59
Hieracium	cordifolium	3.59
Rytidosperma	corinum	3.6
Chloranthus	spicatus	3.6
Zanthoxylum	piperitum	3.6
Vicia	tetrasperma	3.6
Festuca	donax	3.6
Trisetum	antarcticum	3.6
Knautia	ambigua	3.6
Ehretia	laevis	3.61
Tuberaria	guttata	3.61
Hieracium	blyttianum	3.61
Agave	palmeri	3.63
Vicia	barbazitae	3.63
Geonoma	interrupta	3.63
Erianthus	arundinaceus	3.63
Medemia	argun	3.63
Ranunculus	cymbalaria	3.63
Crocus	etruscus	3.63
Hieracium	stoloniflorum	3.63
Asphodelus	albus	3.63
Sorghum	interjectum	3.65
Hieracium	prenanthoides	3.65
Helianthus	niveus	3.65
Sisyrinchium	idahoense	3.65
Solanum	macranthum	3.65
Terminalia	chebula	3.65
Artemisia	absinthium	3.65
Prunus	laurocerasus	3.65
Festuca	calva	3.65
Xolantha	guttata	3.65
Paradisea	liliastrum	3.67
Agave	filifera	3.68
Hieracium	piloselloides	3.68
Echinops	tournefortii	3.68
Trifolium	burchellianum	3.69
Knautia	arvensis	3.69
Echinops	szowitsii	3.69
Kydia	calycina	3.7
Brassia	maculata	3.7
Phalaris	brachystachys	3.7
Commelina	africana	3.7
Ada	ocanensis	3.7
Rhynchostele	cervantesii	3.7
Lachenalia	hybrid	3.7
Senecio	nyikensis	3.7
Victoria	yamasu	3.7
Echinops	spinosissimus	3.71
Festuca	balcanica	3.71
Austrofestuca	littoralis	3.71
Capsicum	baccatum	3.71
Chouardia	lakusicii	3.72
