Genus	Species	1C (pg)	Original Reference	Paper
Penstemon	pratensis	1.18	Broderick et al., 2011 (Ref. 648)	2012
Penstemon	attenuatus	1.18	Broderick et al., 2011 (Ref. 648)	2012
Crataegus	compacta	1.18	Telent & Dickinson, 2005 (Ref. 527)	2011
Crataegus	phaenopyrum	1.18	Telent & Dickinson, 2005 (Ref. 527)	2011
Crataegus	rhipidophylla	1.18	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Penstemon	caespitosus	1.18	Broderick et al., 2011 (Ref. 648)	2012
Microlaena	polynoda	1.19	Murray et al., 2005 (Ref. 528)	2011
Vinca	difformis	1.19	Obermayer & Greilhuber, 2006 (Ref. 530)	2011
Ceballosia	fruticosa	1.19	Suda et al., 2005 (Ref. 552)	2011
Penstemon	azureus	1.19	Broderick et al., 2011 (Ref. 648)	2012
Schiedea	stellarioides	1.19	Kapralov et al., 2009 (Ref. 684)	2012
Mirabilis	jalapa	1.19	Vesely et al., 2011 (Ref. 675)	2012
Crataegus	pruinosa	1.19	Telent & Dickinson, 2005 (Ref. 527)	2011
Ocotea	foetens	1.20	Suda et al., 2005 (Ref. 552)	2011
Paspalum	dasypleurum	1.20	Vaio et al., 2007 (Ref. 695)	2012
Diospyros	discolor	1.20	Ohri, 2002 (Ref. 454)	2005a
Solanum	stenotomum	1.20	Anderson et al., 1985 (Ref. 124)	1991
Philodendron	andreanum	1.20	Olszewska and Osiecka, 1982 (Ref. 155)	1991
Chelidonium	majus	1.20	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Plantago	lanceolata	1.20	Mowforth, 1986 (Ref. 158)	1991
Glycine	arenaria	1.20	Hammatt et al., 1991 (Ref. 165)	1995
Glycine	clandestina	1.20	Hammatt et al., 1991 (Ref. 165)	1995
Coffea	arabica	1.20	Kiehn, 1986 (Ref. 175)	1995
Sisyrinchium	tenuifolium	1.20	Kenton et al., 1986 (Ref. 177)	1995
Larrea	cuneifolia	1.20	Poggio et al., 1989 (Ref. 195)	1995
Leochilus	oncidioides	1.20	Albert et al., 1992 (Ref. 198)	1995
Sisyndite	spartea	1.20	Poggio et al., 1992 (Ref. 201)	1995
Acacia	nilotica	1.20	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Dendrobium	lindleyi	1.20	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	parishii	1.20	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	bicaudatum	1.20	Jones et al., 1998 (Ref. 307)	2000
Myristica	fragrans	1.20	Morawetz and Samuel, 1998 (Ref. 341)	2000
Cirsium	rivulare	1.20	Bures et al., 2004 (Ref. 472)	2011
Colpodium	versicolor	1.20	Kotseruba et al., 2005 (Ref. 574)	2011
Dioscorea	bulbifera	1.20	Obidiegwu et al., 2009 (Ref. 633)	2012
Syringa	vulgaris	1.20	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Paspalum	urvillei	1.20	Vaio et al., 2007 (Ref. 695)	2012
Paspalum	pauciciliatum	1.20	Vaio et al., 2007 (Ref. 695)	2012
Phleum	rhaeticum	1.20	Kula et al., 2006 (Ref. 542)	2011
