Genus	Species	1C (pg)	Original Reference	Paper
Psychotria	ipecacuanha	1.03	Rossi et al., 2008 (Ref. 578)	2011
Genlisea	violacea	1.03	Greilhuber et al., 2006 (Ref. 535)	2011
Scrophularia	glabrata	1.03	Suda et al., 2003 (Ref. 477)	2011
Teline	osyroides	1.03	Suda et al., 2005 (Ref. 552)	2011
Convolvulus	canariensis	1.03	Suda et al., 2005 (Ref. 552)	2011
Luzula	alpina	1.03	Bacic et al., 2007 (Ref. 572)	2011
Carpinus	betulus	1.03	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Dorycnium	pentaphyllum	1.03	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Xanthorrhoea	preisii	1.04	Hanson et al., 2003 (Ref. 380)	2005a
Sedum	rupestre	1.04	Hart, 1991 (Ref. 398)	2005a
Callistemon	citrinus	1.04	Ohri, 2002 (Ref. 454)	2005a
Scrophularia	smithii	1.04	Suda et al., 2005 (Ref. 552)	2011
Genista	pilosa	1.04	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Taraxacum	hoppeanum	1.04	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Veronica	bellidioides	1.04	Albach & Greilhuber, 2003 (Ref. 478)	2011
Ixanthus	viscosus	1.04	Suda et al., 2005 (Ref. 552)	2011
Erucastrum	gallicum	1.04	Kubesová et al., 2010 (Ref. 630)	2012
Stachys	menthaefolia	1.04	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Acer	x bornmuelleri	1.04	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Cochlearia	tatrae	1.04	Kochjarova et al., 2006 (Ref. 546)	2011
Hydrangea	seemannii	1.05	Cerbah et al., 2001 (Ref. 397)	2005a
Oryza	alta	1.05	Ammiraju et al., 2006 (Ref. 545)	2011
Bryonia	verrucosa	1.05	Suda et al., 2005 (Ref. 552)	2011
Luzula	divulgata	1.05	Bacic et al., 2007 (Ref. 572)	2011
Leontodon	crispus	1.05	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Sorbus	aria x intermedia	1.05	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Schiedea	kealiae	1.05	Kapralov et al., 2009 (Ref. 684)	2012
Solanum	aculeastrum	1.05	Bennett et al., 1976 (Ref. 108)	1991
Senecio	pterophorus	1.05	Lawrence, 1985 (Ref. 114)	1991
Ptelea	baldwinii	1.05	Guerra M dos S., 1984 (Ref. 140)	1991
Gleditsia	sinensis	1.05	Ohri and Kumar, 1986 (Ref. 185)	1995
Paspalum	notatum	1.05	Bennett and Smith, 1976 (Ref. 2)	1976
Lotus	corniculatus	1.05	Bennett and Smith, 1976 (Ref. 2)	1976
Ficus	elastica	1.05	Ohri and Khoshoo, 1987 (Ref. 243)	1995
Ludwigia	pilosa	1.05	Baum et al., 1989 (Ref. 269-D)	1995
Tacca	plantaginea	1.05	Bharathan et al., 1994 (Ref. 272)	1997
Broughtonia	sanguinea	1.05	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	gouldii	1.05	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	lasianthera	1.05	Jones et al., 1998 (Ref. 307)	2000
Brighamia	insignis	1.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Craterostigma	plantagineum	1.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Dioscorea	esculenta	1.05	Obidiegwu et al., 2009 (Ref. 633)	2012
Brahea	dulcis	1.06	Hanson et al., 1999 (Ref. 377)	2000
Valeriana	celtica	1.06	Hidalgo et al., 2010 (Ref. 638)	2012
Convolvulus	floridus	1.06	Suda et al., 2003 (Ref. 477)	2011
Dioscorea	alata	1.06	Dansi et al., 2005 (Ref. 538)	2011
Distylium	myricoides	1.06	Garcia S. et al., 2010 (Ref. 664)	2012
Schiedea	lydgatei	1.06	Kapralov et al., 2009 (Ref. 684)	2012
Malus	hupehensis	1.06	Höfer and Meister, 2010 (Ref. 625)	2012
Jacquinia	aculeate	1.07	Ohri et al., 2004 (Ref. 501)	2011
Convolvulus	perraudieri	1.07	Suda et al., 2003 (Ref. 477)	2011
Convolvulus	scoparius	1.07	Suda et al., 2005 (Ref. 552)	2011
Genista	ovata	1.07	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Schiedea	adamantis	1.07	Kapralov et al., 2009 (Ref. 684)	2012
Cirsium	heterophyllum	1.07	Bures et al., 2004 (Ref. 472)	2011
Azorina	vidalii	1.07	Suda et al., 2005 (Ref. 552)	2011
Potentilla	hirta	1.07	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Salvia	glutinosa	1.07	Temsch et al., 2010 (Ref. 627)	2012
Ulmus	glabra	1.08	Band, 1984 (Ref. 154)	1991
Apium	nodiflorum	1.08	Band, 1984 (Ref. 154)	1991
Glycine	latifolia	1.08	Hammatt et al., 1991 (Ref. 165)	1995
Nymphaea	lotus	1.08	Baum et al., 1989 (Ref. 269-D)	1995
Acacia	seyal	1.08	Bukhari, 1997 (Ref. 320)	2000
Eupomatia	benettii	1.08	Morawetz and Samuel, 1998 (Ref. 341)	2000
Rosa	damascena	1.08	Yokoya et al., 2000 (Ref. 346)	2000
Hieracium	piloselloides	1.08	Bachmann et al., 1975 (Ref. 48)	1976
Senecio	inaequidens (s.l.)	1.08	Lafuma et al., 2003 (Ref. 539)	2011
Stemmacantha	cynaroides	1.08	Suda et al., 2005 (Ref. 552)	2011
Curcuma	angustifolia	1.08	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Centaurea	visiani	1.08	Siljak-Yakovev et al., 2005 (Ref. 598)	2011
Calla	palustris	1.08	Zonneveld et al., 2005 (Ref. 466)	2005b
Veronica	anagallis-aquatica	1.08	Albach & Greilhuber, 2003 (Ref. 478)	2011
Centaurea	nervosa	1.08	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Centaurea	stenolepis	1.08	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Malus	sikkimensis	1.08	Höfer and Meister, 2010 (Ref. 625)	2012
Centaurea	gloriosa	1.09	Siljak-Yakovev et al., 2005 (Ref. 598)	2011
Centaurea	cuspidata	1.09	Siljak-Yakovev et al., 2005 (Ref. 598)	2011
Dianthus	petraeus	1.09	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Dentaria	heptaphylla	1.09	Vesely et al., 2011 (Ref. 675)	2012
Cyanus	thirkei	1.09	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Centaurea	parilica	1.09	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Paracautleya	bhatii	1.09	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Crataegus	microphylla	1.09	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Merrilliodendron	megacarpum	1.09	Hanson et al., 2003 (Ref. 380)	2005a
Campanula	cespitosa	1.09	Temsch et al., 2010 (Ref. 627)	2012
Phagnalon	umbelliforme	1.10	Suda et al., 2003 (Ref. 477)	2011
Campanula	rotundifolia	1.10	Temsch et al., 2010 (Ref. 627)	2012
Malus	sieboldii	1.10	Höfer and Meister, 2010 (Ref. 625)	2012
Tritonia	crocosmiifolia	1.10	Olszewska and Osiecka, 1982 (Ref. 155)	1991
Bulnesia	bonariensis	1.10	Poggio and Hunziker, 1986 (Ref. 174)	1995
Notylia	barkeri	1.10	Albert et al., 1992 (Ref. 198)	1995
Oncidium	flexuosum	1.10	Albert et al., 1992 (Ref. 198)	1995
Senecio	rupestris	1.10	Bennett and Smith, 1976 (Ref. 2)	1976
Fallopia	cilinodis	1.10	Bailey and Stace, 1992 (Ref. 213)	1995
Thalictrum	fendleri	1.10	Bharathan et al., 1994 (Ref. 272)	1997
Cynara	scolymus	1.10	Marie and Brown, 1993 (Ref. 290)	1997
Dendrobium	tangerinum	1.10	Jones et al., 1998 (Ref. 307)	2000
Acacia	nilotica	1.10	Bukhari, 1997 (Ref. 320)	2000
Acacia	tortilis	1.10	Bukhari, 1997 (Ref. 320)	2000
Mollinedia	sp.	1.10	Morawetz and Samuel, 1998 (Ref. 341)	2000
Guatteriopsis	hispida	1.10	Morawetz and Samuel, 1998 (Ref. 341)	2000
Rosa	gallica	1.10	Yokoya et al., 2000 (Ref. 346)	2000
Pueraria	lobata	1.10	Price, 1999 (Ref. 347)	2000
Crotalaria	saltiana	1.10	Gupta, 1976 (Ref. 65)	1982
Gomesa	flexuosa	1.10	Chase et al., 2005 (Ref. 504)	2011
Chenopodium	desertorum	1.10	Morgan & Westoby, 2005 (Ref. 526)	2011
Curcuma	aurantiaca	1.10	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Malus	toringoides	1.10	Höfer and Meister, 2010 (Ref. 625)	2012
Malus	spectabilis	1.10	Höfer and Meister, 2010 (Ref. 625)	2012
Malus	halliana	1.10	Höfer and Meister, 2010 (Ref. 625)	2012
Tillandsia	cyanea	1.11	Zonneveld et al., 2005 (Ref. 466)	2005b
Staehelina	fruticosa	1.11	Garnatje et al., 2004 (Ref. 502)	2011
Crataegus	x subsphaericea	1.11	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Euphorbia	cyparissias	1.11	Vidic et al., 2009 (Ref. 628)	2012
Taraxacum	bessarabicum	1.11	Závesky et al., 2005 (Ref. 514)	2011
Spartocytisus	supranubius	1.12	Suda et al., 2005 (Ref. 552)	2011
Malus	komarovii	1.12	Höfer and Meister, 2010 (Ref. 625)	2012
Crocosmia	x crocosmiiflora	1.12	Zonneveld et al., 2005 (Ref. 466)	2005b
Cirsium	canum	1.12	Bures et al., 2004 (Ref. 472)	2011
Erythrina	vespertilio	1.12	Ohri et al., 2004 (Ref. 501)	2011
Dorycnium	eriophtalmum	1.12	Suda et al., 2003 (Ref. 477)	2011
Hitchenia	caulina	1.12	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Sorbus	torminalis	1.12	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Petrorhagia	saxifraga	1.12	Vidic et al., 2009 (Ref. 628)	2012
Cardamine	yezoensis	1.12	Marhold et al., 2010 (Ref. 621)	2012
Solanum	atropurpureum	1.13	Bennett et al., 1976 (Ref. 108)	1991
Glycine	tomentella	1.13	Hammatt et al., 1991 (Ref. 165)	1995
Polyalthia	longifolia	1.13	Ohri and Kumar, 1986 (Ref. 185)	1995
Cotoneaster	melanocarpa	1.13	Dickson et al., 1992 (Ref. 262)	1995
Ludwigia	peruviana	1.13	Baum et al., 1989 (Ref. 269-D)	1995
Ilex	paraguariensis	1.13	Barral et al., 1995 (Ref. 322)	2000
Rosa	centifolia	1.13	Yokoya et al., 2000 (Ref. 346)	2000
Corynephorus	canescens	1.13	Albers, 1980 (Ref. 73)	1982
Silene	vulgaris	1.13	Siroký et al., 2001 (Ref. 437)	2005a
Phragmites	communis	1.13	Zonneveld et al., 2005 (Ref. 466)	2005b
Hydrangea	integrifolia	1.13	Zonneveld et al., 2005 (Ref. 466)	2005b
Erythrina	fusca	1.13	Ohri et al., 2004 (Ref. 501)	2011
Curcuma	pseudomontana	1.13	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Cytisus	heuffelii	1.13	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Satureja	cuneifolia	1.13	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Drimys	vickeriana	1.13	Leitch and Hanson, 2002 (Ref. 381)	2005a
Cardamine	torrentis	1.13	Marhold et al., 2010 (Ref. 621)	2012
Melaleuca	leucadendra	1.13	Ohri, 2002 (Ref. 449)	2005a
Solidago	virgaurea	1.13	Temsch et al., 2010 (Ref. 627)	2012
Taraxacum	tenuifolium	1.14	Závesky et al., 2005 (Ref. 514)	2011
Phyteuma	orbiculare	1.14	Temsch et al., 2010 (Ref. 627)	2012
Mespilus	canescens	1.14	Telent & Dickinson, 2005 (Ref. 527)	2011
Hypochaeris	oligocephala	1.14	Suda et al., 2003 (Ref. 477)	2011
Teline	pallida	1.14	Suda et al., 2005 (Ref. 552)	2011
Dianthus	integer	1.14	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Crepis	leontodontoides	1.14	Enke et al., 2011 (Ref. 670)	2012
Barringtonia	acutangula	1.14	Ohri et al., 2004 (Ref. 501)	2011
Malus	sargentii	1.14	Höfer and Meister, 2010 (Ref. 625)	2012
Leucaena	involucrata	1.15	Hartman et al., 2000 (Ref. 425)	2005a
Saxifraga	granulata	1.15	Redondo et al., 1996 (Ref. 453)	2005a
Teucrium	heterophyllum	1.15	Suda et al., 2005 (Ref. 552)	2011
Curcuma	inodora	1.15	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Curcuma	reclinata	1.15	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Curcuma	kudagensis	1.15	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Curcuma	neilgherrensis	1.15	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Astragalus	vesicarius	1.15	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Paspalum	dilatatum	1.15	Vaio et al., 2007 (Ref. 695)	2012
Datisca	cannabina	1.15	Hanson et al., 2005 (Ref. 612)	2011
Solanum	polyadenium	1.15	Bennett et al., 1976 (Ref. 108)	1991
Bellis	perennis	1.15	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Ilex	aquifolium	1.15	Mowforth, 1986 (Ref. 158)	1991
Oxalis	linearis	1.15	De Azkue and Martínez, 1988 (Ref. 172)	1995
Sisyrinchium	cuspidatum	1.15	Kenton et al., 1986 (Ref. 177)	1995
Sisyrinchium	macrocarpum	1.15	Kenton et al., 1986 (Ref. 177)	1995
Artocarpus	heterophylla	1.15	Ohri and Kumar, 1986 (Ref. 185)	1995
Spathodea	campanulata	1.15	Ohri and Kumar, 1986 (Ref. 185)	1995
Pennisetum	clandestinum	1.15	Bennett and Smith, 1976 (Ref. 2)	1976
Photinea	parvifolia	1.15	Dickson et al., 1992 (Ref. 262)	1995
Peperomia	obtusifolia	1.15	Bharathan et al., 1994 (Ref. 272)	1997
Albizzia	amara	1.15	Ohri, 1996 (Ref. 301)	1997
Dendrobium	helix	1.15	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	conanthum	1.15	Jones et al., 1998 (Ref. 307)	2000
Rosa	x hybrida	1.15	Yokoya et al., 2000 (Ref. 346)	2000
Cienfuegosia	hitchcockii	1.15	Wendel et al., 1999 (Ref. 349)	2000
Luzula	luzuloides	1.15	Barlow and Nevin, 1976 (Ref. 36)	1976
Coccoloba	diversifolia	1.15	Ohri, 2002 (Ref. 454)	2005a
Crocosmia	x latifolia	1.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Amelanchier	canadensis	1.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Crataegus	finitima	1.15	Telent & Dickinson, 2005 (Ref. 527)	2011
Spartocytisus	filipes	1.15	Suda et al., 2005 (Ref. 552)	2011
Digitalis	grandiflora	1.15	Temsch et al., 2010 (Ref. 627)	2012
Oenothera	glazoviana	1.15	Kubesová et al., 2010 (Ref. 630)	2012
Ramonda	nathaliae	1.15	Siljak-Yakovlev et al., 2008 (Ref. 669)	2012
Hydrangea	arborescens	1.16	Cerbah et al., 2001 (Ref. 397)	2005a
Brachychiton	discolor	1.16	Ohri, 2002 (Ref. 454)	2005a
Cirsium	oleraceum	1.16	Bures et al., 2004 (Ref. 472)	2011
Cornus	sanguinea	1.16	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Leontodon	autumnalis	1.16	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Schleichera	oleosa	1.17	Ohri, 2002 (Ref. 454)	2005a
Cirsium	erisithales	1.17	Bures et al., 2004 (Ref. 472)	2011
Kaempferia	scaposa	1.17	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Curcuma	cannanorensis	1.17	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Centaurea	rupestris s.l.	1.17	Siljak-Yakovev et al., 2005 (Ref. 598)	2011
Curcuma	karnatakensis	1.17	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Viola	adriatica	1.17	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Solanum	incanum	1.18	Bennett et al., 1976 (Ref. 108)	1991
Teucrium	scorodonia	1.18	Band, 1984 (Ref. 154)	1991
Oxalis	sepium	1.18	De Azkue and Martínez, 1988 (Ref. 172)	1995
Oxalis	frutescens	1.18	De Azkue and Martínez, 1988 (Ref. 172)	1995
Anthospermum	ibityense	1.18	Kiehn, 1986 (Ref. 175)	1995
Jacaranda	mimosifolia	1.18	Ohri and Kumar, 1986 (Ref. 185)	1995
Gelonium	multiflorum	1.18	Ohri and Kumar, 1986 (Ref. 185)	1995
Nypa	fruticans	1.18	Röser et al., 1997 (Ref. 271)	1997
Cajanus	volubilis	1.18	Ohri, 1996 (Ref. 303)	1997
Dunbaria	ferruginea	1.18	Ohri, 1996 (Ref. 303)	1997
Carex	siderosticta	1.18	Nishikawa et al., 1984 (Ref. 357)	2000
Acacia	falciformis	1.18	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Taraxacum	vulgare	1.18	Barlow, 1981 (Ref. 58)	1982
Phalaenopsis	amabilis	1.18	Nagl and Capesius, 1977 (Ref. 60)	1982
Prunus	padus	1.18	Horjales et al., 2003 (Ref. 489)	2011
Crataegus	wattiana	1.18	Telent & Dickinson, 2005 (Ref. 527)	2011
Curcuma	decipiens	1.18	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Parnassia	palustris	1.18	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Crataegus	x macrocarpa	1.18	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
